case_id,activity,timestamp,lifecycle,resource,priority,decision,decision_time,activity_priority,system_time
Chamada_1,Arrival,0.0,complete,,0.0,,,,
Chamada_1,DecideTronco_Atender,0.0,complete,,,Atender,0.0,,
Chamada_1,Atendimento,0.0,start,Troncos,0.0,,,,
Chamada_1,Atendimento,0.227906286742828,complete,Troncos,0.0,,,,
Chamada_1,Discharge,0.227906286742828,complete,,,,,,0.227906286742828
Chamada_10,Arrival,0.46910228542714594,complete,,0.0,,,,
Chamada_10,DecideTronco_Atender,0.46910228542714594,complete,,,Atender,0.46910228542714594,,
Chamada_10,Atendimento,0.46910228542714594,start,Troncos,0.0,,,,
Chamada_10,Atendimento,4.885445106854321,complete,Troncos,0.0,,,,
Chamada_10,Discharge,4.885445106854321,complete,,,,,,4.4163428214271745
Chamada_100,Arrival,5.845998364504944,complete,,0.0,,,,
Chamada_100,DecideTronco_Atender,5.845998364504944,complete,,,Atender,5.845998364504944,,
Chamada_100,Atendimento,5.845998364504944,start,Troncos,0.0,,,,
Chamada_100,Atendimento,7.9106573099928745,complete,Troncos,0.0,,,,
Chamada_100,Discharge,7.9106573099928745,complete,,,,,,2.0646589454879303
Chamada_101,Arrival,5.848113931868988,complete,,0.0,,,,
Chamada_101,DecideTronco_Atender,5.848113931868988,complete,,,Atender,5.848113931868988,,
Chamada_101,Atendimento,5.848113931868988,start,Troncos,0.0,,,,
Chamada_101,Atendimento,9.038910187133292,complete,Troncos,0.0,,,,
Chamada_101,Discharge,9.038910187133292,complete,,,,,,3.1907962552643037
Chamada_102,Arrival,5.855035199985032,complete,,0.0,,,,
Chamada_102,DecideTronco_Perdida,5.855035199985032,complete,,,Perdida,5.855035199985032,,
Chamada_102,Discharge,5.855035199985032,complete,,,,,,0.0
Chamada_103,Arrival,5.998046773124595,complete,,0.0,,,,
Chamada_103,DecideTronco_Atender,5.998046773124595,complete,,,Atender,5.998046773124595,,
Chamada_103,Atendimento,5.998046773124595,start,Troncos,0.0,,,,
Chamada_103,Atendimento,6.217526208216904,complete,Troncos,0.0,,,,
Chamada_103,Discharge,6.217526208216904,complete,,,,,,0.2194794350923086
Chamada_104,Arrival,6.069547672444231,complete,,0.0,,,,
Chamada_104,DecideTronco_Atender,6.069547672444231,complete,,,Atender,6.069547672444231,,
Chamada_104,Atendimento,6.069547672444231,start,Troncos,0.0,,,,
Chamada_104,Atendimento,7.822387188012169,complete,Troncos,0.0,,,,
Chamada_104,Discharge,7.822387188012169,complete,,,,,,1.7528395155679384
