case_id,activity,timestamp,lifecycle,resource,priority,decision,decision_time,activity_priority,system_time
Chamada_1,Arrival,0.0,complete,,0.0,,,,
Chamada_1,DecideTronco_Atender,0.0,complete,,,Atender,0.0,,
Chamada_1,Atendimento,0.0,start,Troncos,0.0,,,,
Chamada_1,Atendimento,4.629292635057156,complete,Troncos,0.0,,,,
Chamada_1,Discharge,4.629292635057156,complete,,,,,,4.629292635057156
Chamada_10,Arrival,0.3203349806330361,complete,,0.0,,,,
Chamada_10,DecideTronco_Atender,0.3203349806330361,complete,,,Atender,0.3203349806330361,,
Chamada_10,Atendimento,0.3203349806330361,start,Troncos,0.0,,,,
Chamada_10,Atendimento,2.023066963059046,complete,Troncos,0.0,,,,
Chamada_10,Discharge,2.023066963059046,complete,,,,,,1.7027319824260099
Chamada_100,Arrival,6.195472082383377,complete,,0.0,,,,
Chamada_100,DecideTronco_Atender,6.195472082383377,complete,,,Atender,6.195472082383377,,
Chamada_100,Atendimento,6.195472082383377,start,Troncos,0.0,,,,
Chamada_100,Atendimento,6.325994453324441,complete,Troncos,0.0,,,,
Chamada_100,Discharge,6.325994453324441,complete,,,,,,0.13052237094106367
Chamada_101,Arrival,6.231471112618851,complete,,0.0,,,,
Chamada_101,DecideTronco_Aguarda,6.231471112618851,complete,,,Aguarda,6.231471112618851,,
Chamada_101,DecideTroncoAux_NovaTentativa,6.231471112618851,complete,,,NovaTentativa,6.231471112618851,,
Chamada_101,AtendimentoAux,6.231471112618851,start,TroncosAux,0.0,,,,
Chamada_101,AtendimentoAux,9.434223253622305,complete,TroncosAux,0.0,,,,
Chamada_101,Discharge,9.434223253622305,complete,,,,,,3.2027521410034536
Chamada_102,Arrival,6.24112963508088,complete,,0.0,,,,
Chamada_102,DecideTronco_Aguarda,6.24112963508088,complete,,,Aguarda,6.24112963508088,,
Chamada_102,DecideTroncoAux_NovaTentativa,6.24112963508088,complete,,,NovaTentativa,6.24112963508088,,
Chamada_102,AtendimentoAux,6.24112963508088,start,TroncosAux,0.0,,,,
Chamada_102,AtendimentoAux,6.945082943658536,complete,TroncosAux,0.0,,,,
Chamada_102,Discharge,6.945082943658536,complete,,,,,,0.7039533085776561
Chamada_103,Arrival,6.276981222685425,complete,,0.0,,,,
Chamada_103,DecideTronco_Aguarda,6.276981222685425,complete,,,Aguarda,6.276981222685425,,
Chamada_103,DecideTroncoAux_NovaTentativa,6.276981222685425,complete,,,NovaTentativa,6.276981222685425,,
Chamada_103,AtendimentoAux,6.276981222685425,start,TroncosAux,0.0,,,,
